2025.04.10 03:09:30 Features for EURUSD.r: price=1.09582, atr=0.00086786, signal=hold
2025.04.10 22:00:10 Features for EURUSD.r: price=1.12139, atr=0.00198500, signal=hold
2025.04.10 22:00:10 Features for USDJPY.r: price=144.60000, atr=0.24521429, signal=hold
2025.04.10 22:00:10 Features for XAUUSD.r: price=3172.93000, atr=7.30142857, signal=hold
2025.04.10 22:00:10 Features for AUDUSD.r: price=0.62325, atr=0.00175143, signal=buy
2025.04.10 22:00:10 Features for GBPUSD.r: price=1.29806, atr=0.00185214, signal=hold
2025.04.10 22:00:10 Features for USDCAD.r: price=1.39872, atr=0.00162000, signal=hold
2025.04.10 22:15:09 Features for EURUSD.r: price=1.11866, atr=0.00199143, signal=hold
2025.04.10 22:15:09 Features for USDJPY.r: price=144.80500, atr=0.23550000, signal=hold
2025.04.10 22:15:09 Features for XAUUSD.r: price=3169.81000, atr=6.81642857, signal=hold
2025.04.10 22:15:09 Features for AUDUSD.r: price=0.62219, atr=0.00165500, signal=buy
2025.04.10 22:15:09 Features for GBPUSD.r: price=1.29635, atr=0.00175857, signal=hold
2025.04.10 22:15:09 Features for USDCAD.r: price=1.39947, atr=0.00160786, signal=hold
2025.04.10 22:15:09 Features for EURUSD.r: price=1.11866, atr=0.00199143, signal=hold
2025.04.10 22:15:09 Features for USDJPY.r: price=144.80500, atr=0.23550000, signal=hold
2025.04.10 22:15:09 Features for XAUUSD.r: price=3169.81000, atr=6.81642857, signal=hold
2025.04.10 22:15:09 Features for AUDUSD.r: price=0.62219, atr=0.00165500, signal=buy
2025.04.10 22:15:09 Features for GBPUSD.r: price=1.29635, atr=0.00175857, signal=hold
2025.04.10 22:15:09 Features for USDCAD.r: price=1.39947, atr=0.00160786, signal=hold
2025.04.10 22:15:09 Features for EURUSD.r: price=1.11866, atr=0.00199143, signal=hold
2025.04.10 22:15:09 Features for USDJPY.r: price=144.80500, atr=0.23550000, signal=hold
2025.04.10 22:15:09 Features for XAUUSD.r: price=3169.81000, atr=6.81642857, signal=hold
2025.04.10 22:15:09 Features for AUDUSD.r: price=0.62219, atr=0.00165500, signal=buy
2025.04.10 22:15:09 Features for GBPUSD.r: price=1.29635, atr=0.00175857, signal=hold
2025.04.10 22:15:09 Features for USDCAD.r: price=1.39947, atr=0.00160786, signal=hold
2025.04.10 22:15:09 Features for EURUSD.r: price=1.11866, atr=0.00199143, signal=hold
2025.04.10 22:15:09 Features for USDJPY.r: price=144.80500, atr=0.23550000, signal=hold
2025.04.10 22:15:09 Features for XAUUSD.r: price=3169.81000, atr=6.81642857, signal=hold
2025.04.10 22:15:09 Features for AUDUSD.r: price=0.62219, atr=0.00165500, signal=buy
2025.04.10 22:15:09 Features for GBPUSD.r: price=1.29635, atr=0.00175857, signal=hold
2025.04.10 22:15:09 Features for USDCAD.r: price=1.39947, atr=0.00160786, signal=hold
2025.04.10 22:15:09 Features for EURUSD.r: price=1.11866, atr=0.00199143, signal=hold
2025.04.10 22:15:09 Features for USDJPY.r: price=144.80100, atr=0.23550000, signal=hold
2025.04.10 22:15:09 Features for XAUUSD.r: price=3169.81000, atr=6.81642857, signal=hold
2025.04.10 22:15:09 Features for AUDUSD.r: price=0.62218, atr=0.00165500, signal=buy
2025.04.10 22:15:09 Features for GBPUSD.r: price=1.29634, atr=0.00175857, signal=hold
2025.04.10 22:15:09 Features for USDCAD.r: price=1.39947, atr=0.00160786, signal=hold
2025.04.10 22:15:10 Features for EURUSD.r: price=1.11874, atr=0.00199714, signal=hold
2025.04.10 22:15:10 Features for USDJPY.r: price=144.79700, atr=0.23550000, signal=hold
2025.04.10 22:15:10 Features for XAUUSD.r: price=3169.88000, atr=6.81642857, signal=hold
2025.04.10 22:15:10 Features for AUDUSD.r: price=0.62225, atr=0.00165786, signal=buy
2025.04.10 22:15:10 Features for GBPUSD.r: price=1.29639, atr=0.00176357, signal=hold
2025.04.10 22:15:10 Features for USDCAD.r: price=1.39931, atr=0.00161857, signal=hold
2025.04.10 22:30:09 Features for EURUSD.r: price=1.11637, atr=0.00208286, signal=hold
2025.04.10 22:30:09 Features for USDJPY.r: price=145.01000, atr=0.24800000, signal=hold
2025.04.10 22:30:09 Features for XAUUSD.r: price=3170.90000, atr=6.69428571, signal=hold
2025.04.10 22:30:09 Features for AUDUSD.r: price=0.62120, atr=0.00167357, signal=buy
2025.04.10 22:30:09 Features for GBPUSD.r: price=1.29479, atr=0.00179286, signal=hold
2025.04.10 22:30:09 Features for USDCAD.r: price=1.39980, atr=0.00159643, signal=hold
2025.04.10 22:30:09 Features for EURUSD.r: price=1.11637, atr=0.00208286, signal=hold
2025.04.10 22:30:09 Features for USDJPY.r: price=145.01000, atr=0.24800000, signal=hold
2025.04.10 22:30:09 Features for XAUUSD.r: price=3170.90000, atr=6.69428571, signal=hold
2025.04.10 22:30:09 Features for AUDUSD.r: price=0.62120, atr=0.00167357, signal=buy
2025.04.10 22:30:09 Features for GBPUSD.r: price=1.29479, atr=0.00179286, signal=hold
2025.04.10 22:30:09 Features for USDCAD.r: price=1.39980, atr=0.00159643, signal=hold
2025.04.10 22:30:09 Features for EURUSD.r: price=1.11637, atr=0.00208286, signal=hold
2025.04.10 22:30:09 Features for USDJPY.r: price=145.01000, atr=0.24800000, signal=hold
2025.04.10 22:30:09 Features for XAUUSD.r: price=3170.90000, atr=6.69428571, signal=hold
2025.04.10 22:30:09 Features for AUDUSD.r: price=0.62120, atr=0.00167357, signal=buy
2025.04.10 22:30:09 Features for GBPUSD.r: price=1.29479, atr=0.00179286, signal=hold
2025.04.10 22:30:09 Features for USDCAD.r: price=1.39980, atr=0.00159643, signal=hold
2025.04.10 22:30:09 Features for EURUSD.r: price=1.11637, atr=0.00208286, signal=hold
2025.04.10 22:30:09 Features for USDJPY.r: price=145.01000, atr=0.24800000, signal=hold
2025.04.10 22:30:09 Features for XAUUSD.r: price=3170.90000, atr=6.69428571, signal=hold
2025.04.10 22:30:09 Features for AUDUSD.r: price=0.62120, atr=0.00167357, signal=buy
2025.04.10 22:30:09 Features for GBPUSD.r: price=1.29479, atr=0.00179286, signal=hold
2025.04.10 22:30:09 Features for USDCAD.r: price=1.39980, atr=0.00159643, signal=hold
2025.04.10 22:30:09 Features for EURUSD.r: price=1.11637, atr=0.00208286, signal=hold
2025.04.10 22:30:09 Features for USDJPY.r: price=145.01000, atr=0.24800000, signal=hold
2025.04.10 22:30:09 Features for XAUUSD.r: price=3170.90000, atr=6.69428571, signal=hold
2025.04.10 22:30:09 Features for AUDUSD.r: price=0.62120, atr=0.00167357, signal=buy
2025.04.10 22:30:09 Features for GBPUSD.r: price=1.29479, atr=0.00179286, signal=hold
2025.04.10 22:30:09 Features for USDCAD.r: price=1.39980, atr=0.00159643, signal=hold
2025.04.10 22:30:10 Features for EURUSD.r: price=1.11634, atr=0.00208286, signal=hold
2025.04.10 22:30:10 Features for USDJPY.r: price=145.01900, atr=0.24800000, signal=hold
2025.04.10 22:30:10 Features for XAUUSD.r: price=3170.95000, atr=6.69428571, signal=hold
2025.04.10 22:30:10 Features for AUDUSD.r: price=0.62123, atr=0.00167357, signal=buy
2025.04.10 22:30:10 Features for GBPUSD.r: price=1.29479, atr=0.00179286, signal=hold
2025.04.10 22:30:10 Features for USDCAD.r: price=1.39978, atr=0.00159643, signal=hold
2025.04.10 22:45:09 Features for EURUSD.r: price=1.11758, atr=0.00203857, signal=hold
2025.04.10 22:45:09 Features for USDJPY.r: price=144.71500, atr=0.26271429, signal=hold
2025.04.10 22:45:09 Features for XAUUSD.r: price=3174.46000, atr=6.44142857, signal=hold
2025.04.10 22:45:09 Features for AUDUSD.r: price=0.62018, atr=0.00171857, signal=buy
2025.04.10 22:45:09 Features for GBPUSD.r: price=1.29499, atr=0.00173000, signal=hold
2025.04.10 22:45:09 Features for USDCAD.r: price=1.40037, atr=0.00163571, signal=hold
2025.04.10 22:45:09 Features for EURUSD.r: price=1.11758, atr=0.00203857, signal=hold
2025.04.10 22:45:09 Features for USDJPY.r: price=144.71500, atr=0.26271429, signal=hold
2025.04.10 22:45:09 Features for XAUUSD.r: price=3174.46000, atr=6.44142857, signal=hold
2025.04.10 22:45:09 Features for AUDUSD.r: price=0.62018, atr=0.00171857, signal=buy
2025.04.10 22:45:09 Features for GBPUSD.r: price=1.29499, atr=0.00173000, signal=hold
2025.04.10 22:45:09 Features for USDCAD.r: price=1.40037, atr=0.00163571, signal=hold
2025.04.10 22:45:09 Features for EURUSD.r: price=1.11758, atr=0.00203857, signal=hold
2025.04.10 22:45:09 Features for USDJPY.r: price=144.71500, atr=0.26271429, signal=hold
2025.04.10 22:45:09 Features for XAUUSD.r: price=3174.46000, atr=6.44142857, signal=hold
2025.04.10 22:45:09 Features for AUDUSD.r: price=0.62018, atr=0.00171857, signal=buy
2025.04.10 22:45:09 Features for GBPUSD.r: price=1.29499, atr=0.00173000, signal=hold
2025.04.10 22:45:09 Features for USDCAD.r: price=1.40037, atr=0.00163571, signal=hold
2025.04.10 22:45:09 Features for EURUSD.r: price=1.11757, atr=0.00203857, signal=hold
2025.04.10 22:45:09 Features for USDJPY.r: price=144.71500, atr=0.26271429, signal=hold
2025.04.10 22:45:09 Features for XAUUSD.r: price=3174.46000, atr=6.44142857, signal=hold
2025.04.10 22:45:09 Features for AUDUSD.r: price=0.62018, atr=0.00171857, signal=buy
2025.04.10 22:45:09 Features for GBPUSD.r: price=1.29498, atr=0.00173000, signal=hold
2025.04.10 22:45:09 Features for USDCAD.r: price=1.40037, atr=0.00163571, signal=hold
2025.04.10 22:45:09 Features for EURUSD.r: price=1.11757, atr=0.00203857, signal=hold
2025.04.10 22:45:09 Features for USDJPY.r: price=144.71500, atr=0.26271429, signal=hold
2025.04.10 22:45:09 Features for XAUUSD.r: price=3174.46000, atr=6.44142857, signal=hold
2025.04.10 22:45:09 Features for AUDUSD.r: price=0.62018, atr=0.00171857, signal=buy
2025.04.10 22:45:09 Features for GBPUSD.r: price=1.29498, atr=0.00173000, signal=hold
2025.04.10 22:45:09 Features for USDCAD.r: price=1.40037, atr=0.00163571, signal=hold
2025.04.10 22:45:10 Features for EURUSD.r: price=1.11756, atr=0.00203857, signal=hold
2025.04.10 22:45:10 Features for USDJPY.r: price=144.71400, atr=0.26271429, signal=hold
2025.04.10 22:45:10 Features for XAUUSD.r: price=3174.61000, atr=6.44142857, signal=hold
2025.04.10 22:45:10 Features for AUDUSD.r: price=0.62018, atr=0.00171857, signal=buy
2025.04.10 22:45:10 Features for GBPUSD.r: price=1.29497, atr=0.00173000, signal=hold
2025.04.10 22:45:10 Features for USDCAD.r: price=1.40038, atr=0.00163571, signal=hold
2025.04.10 23:00:09 Features for EURUSD.r: price=1.12000, atr=0.00225714, signal=hold
2025.04.10 23:00:09 Features for USDJPY.r: price=144.67500, atr=0.24664286, signal=hold
2025.04.10 23:00:09 Features for XAUUSD.r: price=3170.58000, atr=6.34071429, signal=hold
2025.04.10 23:00:09 Features for AUDUSD.r: price=0.62190, atr=0.00172143, signal=buy
2025.04.10 23:00:09 Features for GBPUSD.r: price=1.29661, atr=0.00182286, signal=hold
2025.04.10 23:00:09 Features for USDCAD.r: price=1.39759, atr=0.00176214, signal=hold
2025.04.10 23:00:09 Features for EURUSD.r: price=1.12000, atr=0.00225714, signal=hold
2025.04.10 23:00:09 Features for USDJPY.r: price=144.67500, atr=0.24664286, signal=hold
2025.04.10 23:00:09 Features for XAUUSD.r: price=3170.58000, atr=6.34071429, signal=hold
2025.04.10 23:00:09 Features for AUDUSD.r: price=0.62190, atr=0.00172143, signal=buy
2025.04.10 23:00:09 Features for GBPUSD.r: price=1.29661, atr=0.00182286, signal=hold
2025.04.10 23:00:09 Features for USDCAD.r: price=1.39759, atr=0.00176214, signal=hold
2025.04.10 23:00:09 Features for EURUSD.r: price=1.12000, atr=0.00225714, signal=hold
2025.04.10 23:00:09 Features for USDJPY.r: price=144.67500, atr=0.24664286, signal=hold
2025.04.10 23:00:09 Features for XAUUSD.r: price=3170.58000, atr=6.34071429, signal=hold
2025.04.10 23:00:09 Features for AUDUSD.r: price=0.62190, atr=0.00172143, signal=buy
2025.04.10 23:00:09 Features for GBPUSD.r: price=1.29661, atr=0.00182286, signal=hold
2025.04.10 23:00:09 Features for USDCAD.r: price=1.39759, atr=0.00176214, signal=hold
2025.04.10 23:00:09 Features for EURUSD.r: price=1.12000, atr=0.00225714, signal=hold
2025.04.10 23:00:09 Features for USDJPY.r: price=144.67500, atr=0.24664286, signal=hold
2025.04.10 23:00:09 Features for XAUUSD.r: price=3170.58000, atr=6.34071429, signal=hold
2025.04.10 23:00:09 Features for AUDUSD.r: price=0.62190, atr=0.00172143, signal=buy
2025.04.10 23:00:09 Features for GBPUSD.r: price=1.29661, atr=0.00182286, signal=hold
2025.04.10 23:00:09 Features for USDCAD.r: price=1.39759, atr=0.00176214, signal=hold
2025.04.10 23:00:09 Features for EURUSD.r: price=1.12000, atr=0.00225714, signal=hold
2025.04.10 23:00:09 Features for USDJPY.r: price=144.67500, atr=0.24664286, signal=hold
2025.04.10 23:00:09 Features for XAUUSD.r: price=3170.58000, atr=6.34071429, signal=hold
2025.04.10 23:00:09 Features for AUDUSD.r: price=0.62190, atr=0.00172143, signal=buy
2025.04.10 23:00:09 Features for GBPUSD.r: price=1.29661, atr=0.00182286, signal=hold
2025.04.10 23:00:09 Features for USDCAD.r: price=1.39759, atr=0.00176214, signal=hold
2025.04.10 23:00:10 Features for EURUSD.r: price=1.11997, atr=0.00225714, signal=hold
2025.04.10 23:00:10 Features for USDJPY.r: price=144.67500, atr=0.24664286, signal=hold
2025.04.10 23:00:10 Features for XAUUSD.r: price=3170.48000, atr=6.34071429, signal=hold
2025.04.10 23:00:10 Features for AUDUSD.r: price=0.62186, atr=0.00172143, signal=buy
2025.04.10 23:00:10 Features for GBPUSD.r: price=1.29655, atr=0.00182286, signal=hold
2025.04.10 23:00:10 Features for USDCAD.r: price=1.39754, atr=0.00176500, signal=hold
2025.04.10 23:15:09 Features for EURUSD.r: price=1.11954, atr=0.00216643, signal=hold
2025.04.10 23:15:09 Features for USDJPY.r: price=144.72000, atr=0.23842857, signal=hold
2025.04.10 23:15:09 Features for XAUUSD.r: price=3174.35000, atr=6.16571429, signal=hold
2025.04.10 23:15:09 Features for AUDUSD.r: price=0.62287, atr=0.00169143, signal=buy
2025.04.10 23:15:09 Features for GBPUSD.r: price=1.29667, atr=0.00170214, signal=hold
2025.04.10 23:15:09 Features for USDCAD.r: price=1.39835, atr=0.00184786, signal=buy
2025.04.10 23:15:09 Features for EURUSD.r: price=1.11954, atr=0.00216643, signal=hold
2025.04.10 23:15:09 Features for USDJPY.r: price=144.72000, atr=0.23842857, signal=hold
2025.04.10 23:15:09 Features for XAUUSD.r: price=3174.35000, atr=6.16571429, signal=hold
2025.04.10 23:15:09 Features for AUDUSD.r: price=0.62287, atr=0.00169143, signal=buy
2025.04.10 23:15:09 Features for GBPUSD.r: price=1.29667, atr=0.00170214, signal=hold
2025.04.10 23:15:09 Features for USDCAD.r: price=1.39835, atr=0.00184786, signal=buy
2025.04.10 23:15:09 Features for EURUSD.r: price=1.11954, atr=0.00216643, signal=hold
2025.04.10 23:15:09 Features for USDJPY.r: price=144.72000, atr=0.23842857, signal=hold
2025.04.10 23:15:09 Features for XAUUSD.r: price=3174.35000, atr=6.16571429, signal=hold
2025.04.10 23:15:09 Features for AUDUSD.r: price=0.62288, atr=0.00169143, signal=buy
2025.04.10 23:15:09 Features for GBPUSD.r: price=1.29667, atr=0.00170214, signal=hold
2025.04.10 23:15:09 Features for USDCAD.r: price=1.39835, atr=0.00184786, signal=buy
2025.04.10 23:15:09 Features for EURUSD.r: price=1.11954, atr=0.00216643, signal=hold
2025.04.10 23:15:09 Features for USDJPY.r: price=144.72000, atr=0.23842857, signal=hold
2025.04.10 23:15:09 Features for XAUUSD.r: price=3174.35000, atr=6.16571429, signal=hold
2025.04.10 23:15:09 Features for AUDUSD.r: price=0.62288, atr=0.00169143, signal=buy
2025.04.10 23:15:09 Features for GBPUSD.r: price=1.29667, atr=0.00170214, signal=hold
2025.04.10 23:15:09 Features for USDCAD.r: price=1.39835, atr=0.00184786, signal=buy
2025.04.10 23:15:09 Features for EURUSD.r: price=1.11954, atr=0.00216643, signal=hold
2025.04.10 23:15:09 Features for USDJPY.r: price=144.72000, atr=0.23842857, signal=hold
2025.04.10 23:15:09 Features for XAUUSD.r: price=3174.35000, atr=6.16571429, signal=hold
2025.04.10 23:15:09 Features for AUDUSD.r: price=0.62288, atr=0.00169143, signal=buy
2025.04.10 23:15:09 Features for GBPUSD.r: price=1.29667, atr=0.00170214, signal=hold
2025.04.10 23:15:09 Features for USDCAD.r: price=1.39835, atr=0.00184786, signal=buy
2025.04.10 23:15:10 Features for EURUSD.r: price=1.11954, atr=0.00216643, signal=hold
2025.04.10 23:15:10 Features for USDJPY.r: price=144.71900, atr=0.23842857, signal=hold
2025.04.10 23:15:10 Features for XAUUSD.r: price=3174.40000, atr=6.16571429, signal=hold
2025.04.10 23:15:10 Features for AUDUSD.r: price=0.62294, atr=0.00169143, signal=buy
2025.04.10 23:15:10 Features for GBPUSD.r: price=1.29668, atr=0.00170214, signal=hold
2025.04.10 23:15:10 Features for USDCAD.r: price=1.39833, atr=0.00184786, signal=buy
2025.04.10 23:30:09 Features for EURUSD.r: price=1.11846, atr=0.00210000, signal=hold
2025.04.10 23:30:09 Features for USDJPY.r: price=144.78500, atr=0.23171429, signal=hold
2025.04.10 23:30:09 Features for XAUUSD.r: price=3170.20000, atr=6.02857143, signal=hold
2025.04.10 23:30:09 Features for AUDUSD.r: price=0.62211, atr=0.00159000, signal=buy
2025.04.10 23:30:09 Features for GBPUSD.r: price=1.29575, atr=0.00165000, signal=hold
2025.04.10 23:30:09 Features for USDCAD.r: price=1.39916, atr=0.00181286, signal=buy
2025.04.10 23:30:09 Features for EURUSD.r: price=1.11846, atr=0.00210000, signal=hold
2025.04.10 23:30:09 Features for USDJPY.r: price=144.78500, atr=0.23171429, signal=hold
2025.04.10 23:30:09 Features for XAUUSD.r: price=3170.20000, atr=6.02857143, signal=hold
2025.04.10 23:30:09 Features for AUDUSD.r: price=0.62211, atr=0.00159000, signal=buy
2025.04.10 23:30:09 Features for GBPUSD.r: price=1.29575, atr=0.00165000, signal=hold
2025.04.10 23:30:09 Features for USDCAD.r: price=1.39916, atr=0.00181286, signal=buy
2025.04.10 23:30:09 Features for EURUSD.r: price=1.11846, atr=0.00210000, signal=hold
2025.04.10 23:30:09 Features for USDJPY.r: price=144.78500, atr=0.23171429, signal=hold
2025.04.10 23:30:09 Features for XAUUSD.r: price=3170.20000, atr=6.02857143, signal=hold
2025.04.10 23:30:09 Features for AUDUSD.r: price=0.62211, atr=0.00159000, signal=buy
2025.04.10 23:30:09 Features for GBPUSD.r: price=1.29575, atr=0.00165000, signal=hold
2025.04.10 23:30:09 Features for USDCAD.r: price=1.39916, atr=0.00181286, signal=buy
2025.04.10 23:30:09 Features for EURUSD.r: price=1.11846, atr=0.00210000, signal=hold
2025.04.10 23:30:09 Features for USDJPY.r: price=144.78500, atr=0.23171429, signal=hold
2025.04.10 23:30:09 Features for XAUUSD.r: price=3170.20000, atr=6.02857143, signal=hold
2025.04.10 23:30:09 Features for AUDUSD.r: price=0.62211, atr=0.00159000, signal=buy
2025.04.10 23:30:09 Features for GBPUSD.r: price=1.29575, atr=0.00165000, signal=hold
2025.04.10 23:30:09 Features for USDCAD.r: price=1.39916, atr=0.00181286, signal=buy
2025.04.10 23:30:09 Features for EURUSD.r: price=1.11846, atr=0.00210000, signal=hold
2025.04.10 23:30:09 Features for USDJPY.r: price=144.78500, atr=0.23171429, signal=hold
2025.04.10 23:30:09 Features for XAUUSD.r: price=3170.20000, atr=6.02857143, signal=hold
2025.04.10 23:30:09 Features for AUDUSD.r: price=0.62211, atr=0.00159000, signal=buy
2025.04.10 23:30:09 Features for GBPUSD.r: price=1.29575, atr=0.00165000, signal=hold
2025.04.10 23:30:09 Features for USDCAD.r: price=1.39916, atr=0.00181286, signal=buy
2025.04.10 23:30:10 Features for EURUSD.r: price=1.11846, atr=0.00210000, signal=hold
2025.04.10 23:30:10 Features for USDJPY.r: price=144.78600, atr=0.23171429, signal=hold
2025.04.10 23:30:10 Features for XAUUSD.r: price=3170.20000, atr=6.02857143, signal=hold
2025.04.10 23:30:10 Features for AUDUSD.r: price=0.62210, atr=0.00159000, signal=buy
2025.04.10 23:30:10 Features for GBPUSD.r: price=1.29575, atr=0.00165000, signal=hold
2025.04.10 23:30:10 Features for USDCAD.r: price=1.39916, atr=0.00181286, signal=buy
2025.04.10 23:45:09 Features for EURUSD.r: price=1.11867, atr=0.00205143, signal=hold
2025.04.10 23:45:09 Features for USDJPY.r: price=144.75200, atr=0.21500000, signal=hold
2025.04.10 23:45:09 Features for XAUUSD.r: price=3172.13000, atr=5.83214286, signal=hold
2025.04.10 23:45:09 Features for AUDUSD.r: price=0.62179, atr=0.00156143, signal=buy
2025.04.10 23:45:09 Features for GBPUSD.r: price=1.29581, atr=0.00161571, signal=hold
2025.04.10 23:45:09 Features for USDCAD.r: price=1.40004, atr=0.00181286, signal=buy
2025.04.10 23:45:09 Features for EURUSD.r: price=1.11867, atr=0.00205143, signal=hold
2025.04.10 23:45:09 Features for USDJPY.r: price=144.75200, atr=0.21500000, signal=hold
2025.04.10 23:45:09 Features for XAUUSD.r: price=3172.13000, atr=5.83214286, signal=hold
2025.04.10 23:45:09 Features for AUDUSD.r: price=0.62179, atr=0.00156143, signal=buy
2025.04.10 23:45:09 Features for GBPUSD.r: price=1.29581, atr=0.00161571, signal=hold
2025.04.10 23:45:09 Features for USDCAD.r: price=1.40004, atr=0.00181286, signal=buy
2025.04.10 23:45:09 Features for EURUSD.r: price=1.11867, atr=0.00205143, signal=hold
2025.04.10 23:45:09 Features for USDJPY.r: price=144.75200, atr=0.21500000, signal=hold
2025.04.10 23:45:09 Features for XAUUSD.r: price=3172.13000, atr=5.83214286, signal=hold
2025.04.10 23:45:09 Features for AUDUSD.r: price=0.62179, atr=0.00156143, signal=buy
2025.04.10 23:45:09 Features for GBPUSD.r: price=1.29581, atr=0.00161571, signal=hold
2025.04.10 23:45:09 Features for USDCAD.r: price=1.40004, atr=0.00181286, signal=buy
2025.04.10 23:45:09 Features for EURUSD.r: price=1.11867, atr=0.00205143, signal=hold
2025.04.10 23:45:09 Features for USDJPY.r: price=144.75200, atr=0.21500000, signal=hold
2025.04.10 23:45:09 Features for XAUUSD.r: price=3172.13000, atr=5.83214286, signal=hold
2025.04.10 23:45:09 Features for AUDUSD.r: price=0.62179, atr=0.00156143, signal=buy
2025.04.10 23:45:09 Features for GBPUSD.r: price=1.29581, atr=0.00161571, signal=hold
2025.04.10 23:45:09 Features for USDCAD.r: price=1.40004, atr=0.00181286, signal=buy
2025.04.10 23:45:10 Features for EURUSD.r: price=1.11867, atr=0.00205143, signal=hold
2025.04.10 23:45:10 Features for USDJPY.r: price=144.75200, atr=0.21500000, signal=hold
2025.04.10 23:45:10 Features for XAUUSD.r: price=3172.13000, atr=5.83214286, signal=hold
2025.04.10 23:45:10 Features for AUDUSD.r: price=0.62179, atr=0.00156143, signal=buy
2025.04.10 23:45:10 Features for GBPUSD.r: price=1.29581, atr=0.00161571, signal=hold
2025.04.10 23:45:10 Features for USDCAD.r: price=1.40005, atr=0.00181286, signal=buy
2025.04.11 00:00:06 Features for EURUSD.r: price=1.11920, atr=0.00194643, signal=hold
2025.04.11 00:00:06 Features for USDJPY.r: price=144.56600, atr=0.22785714, signal=hold
2025.04.11 00:00:06 Features for XAUUSD.r: price=3174.35000, atr=6.06000000, signal=hold
2025.04.11 00:00:06 Features for AUDUSD.r: price=0.62206, atr=0.00147500, signal=buy
2025.04.11 00:00:06 Features for GBPUSD.r: price=1.29624, atr=0.00151929, signal=hold
2025.04.11 00:00:06 Features for USDCAD.r: price=1.39800, atr=0.00181857, signal=buy
2025.04.11 00:00:06 Features for EURUSD.r: price=1.11920, atr=0.00194643, signal=hold
2025.04.11 00:00:06 Features for USDJPY.r: price=144.56600, atr=0.22785714, signal=hold
2025.04.11 00:00:06 Features for XAUUSD.r: price=3174.35000, atr=6.06000000, signal=hold
2025.04.11 00:00:06 Features for AUDUSD.r: price=0.62206, atr=0.00147500, signal=buy
2025.04.11 00:00:06 Features for GBPUSD.r: price=1.29624, atr=0.00151929, signal=hold
2025.04.11 00:00:06 Features for USDCAD.r: price=1.39800, atr=0.00181857, signal=buy
2025.04.11 00:00:06 Features for EURUSD.r: price=1.11920, atr=0.00194643, signal=hold
2025.04.11 00:00:06 Features for USDJPY.r: price=144.56600, atr=0.22785714, signal=hold
2025.04.11 00:00:06 Features for XAUUSD.r: price=3174.35000, atr=6.06000000, signal=hold
2025.04.11 00:00:06 Features for AUDUSD.r: price=0.62206, atr=0.00147500, signal=buy
2025.04.11 00:00:06 Features for GBPUSD.r: price=1.29624, atr=0.00151929, signal=hold
2025.04.11 00:00:06 Features for USDCAD.r: price=1.39800, atr=0.00181857, signal=buy
2025.04.11 00:00:06 Features for EURUSD.r: price=1.11920, atr=0.00194643, signal=hold
2025.04.11 00:00:06 Features for USDJPY.r: price=144.56600, atr=0.22785714, signal=hold
2025.04.11 00:00:06 Features for XAUUSD.r: price=3174.35000, atr=6.06000000, signal=hold
2025.04.11 00:00:06 Features for AUDUSD.r: price=0.62206, atr=0.00147500, signal=buy
2025.04.11 00:00:06 Features for GBPUSD.r: price=1.29624, atr=0.00151929, signal=hold
2025.04.11 00:00:06 Features for USDCAD.r: price=1.39800, atr=0.00181857, signal=buy
2025.04.11 00:00:10 Features for EURUSD.r: price=1.11920, atr=0.00194643, signal=hold
2025.04.11 00:00:10 Features for USDJPY.r: price=144.45100, atr=0.22785714, signal=hold
2025.04.11 00:00:10 Features for XAUUSD.r: price=3174.35000, atr=6.06000000, signal=hold
2025.04.11 00:00:10 Features for AUDUSD.r: price=0.62206, atr=0.00147500, signal=buy
2025.04.11 00:00:10 Features for GBPUSD.r: price=1.29624, atr=0.00151929, signal=hold
2025.04.11 00:00:10 Features for USDCAD.r: price=1.39800, atr=0.00181857, signal=buy
2025.04.11 00:15:09 Features for EURUSD.r: price=1.11984, atr=0.00192357, signal=hold
2025.04.11 00:15:09 Features for USDJPY.r: price=144.44900, atr=0.22785714, signal=hold
2025.04.11 00:15:09 Features for XAUUSD.r: price=3174.35000, atr=6.06000000, signal=hold
2025.04.11 00:15:09 Features for AUDUSD.r: price=0.62261, atr=0.00146714, signal=buy
2025.04.11 00:15:09 Features for GBPUSD.r: price=1.29662, atr=0.00148357, signal=hold
2025.04.11 00:15:09 Features for USDCAD.r: price=1.39804, atr=0.00178429, signal=buy
2025.04.11 00:15:09 Features for EURUSD.r: price=1.11984, atr=0.00192357, signal=hold
2025.04.11 00:15:09 Features for USDJPY.r: price=144.44900, atr=0.22785714, signal=hold
2025.04.11 00:15:09 Features for XAUUSD.r: price=3174.35000, atr=6.06000000, signal=hold
2025.04.11 00:15:09 Features for AUDUSD.r: price=0.62261, atr=0.00146714, signal=buy
2025.04.11 00:15:09 Features for GBPUSD.r: price=1.29662, atr=0.00148357, signal=hold
2025.04.11 00:15:09 Features for USDCAD.r: price=1.39804, atr=0.00178429, signal=buy
2025.04.11 00:15:09 Features for EURUSD.r: price=1.11984, atr=0.00192357, signal=hold
2025.04.11 00:15:09 Features for USDJPY.r: price=144.44900, atr=0.22785714, signal=hold
2025.04.11 00:15:09 Features for XAUUSD.r: price=3174.35000, atr=6.06000000, signal=hold
2025.04.11 00:15:09 Features for AUDUSD.r: price=0.62261, atr=0.00146714, signal=buy
2025.04.11 00:15:09 Features for GBPUSD.r: price=1.29662, atr=0.00148357, signal=hold
